Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-12-30 15:11:31
heard;speech/rhetoric;Jews or the Jewish community.;off campus;a student.;2024-12-30 15:24:36
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2024-12-30 15:32:39
heard;call for BDS (Boycott, Divestment, Sanctions);me.;off campus;a student.;2024-12-30 15:39:57
felt;speech/rhetoric;Israel.;—;a student.;2024-12-30 16:26:28
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-12-30 16:37:27
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-12-30 16:38:41
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-12-30 16:40:25
experienced;speech/rhetoric;the Israeli government.;at a student club;a student.;2024-12-30 17:15:19
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-12-30 17:40:21
experienced;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-12-30 17:41:11
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2024-12-30 17:44:47
saw;graffiti;the Israeli government.;in a classroom;i’m not sure/unknown.;2024-12-30 17:50:03
experienced;speech/rhetoric;—;in a classroom;a student.;2024-12-30 17:51:26
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;off campus;someone from off campus.;2024-12-30 18:00:04
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a professor.;2024-12-30 18:10:18
felt;call for BDS (Boycott, Divestment, Sanctions);me.;on the quad;someone from off campus.;2024-12-30 18:52:43
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-12-30 19:01:54
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2024-12-30 19:39:14
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2024-12-30 19:40:51
saw;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-12-30 19:54:37
saw;graffiti;the Israeli government.;off campus;i’m not sure/unknown.;2024-12-30 20:11:32
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;—;2024-12-30 20:21:07
experienced;physical assault;Jewish students.;in a classroom;a professor.;2024-12-30 20:21:53
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-12-30 21:14:20
saw;speech/rhetoric;the Israeli government.;in my dorm;a student.;2024-12-30 21:32:57
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-12-30 22:48:45
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-12-30 22:53:30
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a campus club or organization.;2024-12-30 23:26:44
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-12-30 23:44:43
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at my fraternity or sorority;a student.;2024-12-31 04:30:46
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at my fraternity or sorority;a student.;2024-12-31 04:32:12
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-12-31 05:20:37
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in my dorm;a student.;2024-12-31 05:26:51
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a professor.;2024-12-31 05:55:06
felt;speech/rhetoric;Israel.;off campus;a student.;2024-12-31 07:07:31
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-12-31 07:16:46
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-12-31 07:32:44
saw;speech/rhetoric;Israel.;online;—;2024-12-31 07:58:36
felt;speech/rhetoric;the Israeli government.;in a classroom;—;2024-12-31 09:06:52
felt;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2024-12-31 09:18:53
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2024-12-31 09:54:28
felt;speech/rhetoric;the Israeli government.;in a classroom;—;2024-12-31 10:58:41
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a campus club or organization.;2024-12-31 11:36:24
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-31 11:52:47
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-12-31 12:10:05
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-12-31 12:46:50
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-12-31 12:51:12
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-12-31 13:43:32
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;—;2024-12-31 14:13:25
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-12-31 14:45:32
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a campus club or organization.;2024-12-31 16:10:20
heard;speech/rhetoric;Jewish students.;in a classroom;a student.;2024-12-31 18:02:14
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-12-31 18:21:23
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;—;2024-12-31 18:29:08
felt;speech/rhetoric;Jews or the Jewish community.;on the quad;a student.;2024-12-31 19:17:04
heard;something else;Israel.;online;—;2024-12-31 22:20:40
experienced;speech/rhetoric;the Israeli government.;on the quad;a campus club or organization.;2024-12-31 22:21:19
heard;speech/rhetoric;Jews or the Jewish community.;online;i’m not sure/unknown.;2025-01-01 11:28:20
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;a student.;2025-01-01 17:00:24
heard;speech/rhetoric;the Israeli government.;on the quad;a student.;2025-01-01 18:12:54
heard;speech/rhetoric;Jews or the Jewish community.;off campus;a student.;2025-01-02 06:57:08
experienced;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;in a classroom;i’m not sure/unknown.;2025-01-02 07:22:31
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-01-02 19:20:58
experienced;graffiti;Jews or the Jewish community.;at a student club;i’m not sure/unknown.;2025-01-03 06:33:41
experienced;speech/rhetoric;Jewish students.;on the quad;i’m not sure/unknown.;2025-01-03 06:53:08
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;i’m not sure/unknown.;2025-01-03 07:05:21
experienced;graffiti;faculty, staff, or administrators.;on the quad;a campus club or organization.;2025-01-03 07:16:31
experienced;property damage;Jewish students.;in my dorm;a student.;2025-01-03 07:48:23
heard;speech/rhetoric;Jews or the Jewish community.;in my dorm;a student.;2025-01-03 08:05:37
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;at a student club;a student.;2025-01-03 08:07:06
saw;speech/rhetoric;Israel.;in a classroom;a professor.;2025-01-03 08:21:03
saw;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;online;a student.;2025-01-03 08:52:23
heard;faculty conduct;Israel.;in a classroom;a professor.;2025-01-03 10:40:32
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;at a student club;a professor.;2025-01-03 11:42:38
saw;property damage;—;at a student club;—;2025-01-03 13:04:21
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2025-01-03 13:13:46
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;i’m not sure/unknown.;2025-01-03 16:01:51
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2025-01-03 17:11:37
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-01-03 18:43:04
heard;speech/rhetoric;Israel.;in a classroom;a student.;2025-01-03 19:03:17
heard;speech/rhetoric;Israel.;at a student club;—;2025-01-03 19:58:00
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a student.;2025-01-03 20:22:42
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone from off campus.;2025-01-03 23:15:01
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-01-04 00:12:45
felt;physical assault;me.;at my fraternity or sorority;a student.;2025-01-04 00:18:20
—;property damage;me.;—;—;2025-01-04 00:18:46
—;graffiti;Jewish students.;in my dorm;a student.;2025-01-04 00:19:02
saw;faculty conduct;Jewish students.;in a classroom;a professor.;2025-01-04 00:19:29
heard;physical assault;Jewish students.;at my fraternity or sorority;a student.;2025-01-04 06:24:36
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2025-01-04 09:55:43
saw;speech/rhetoric;Jews or the Jewish community.;on the quad;a student.;2025-01-04 11:45:54
felt;speech/rhetoric;me.;off campus;a student.;2025-01-04 14:22:39
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-01-04 16:37:34
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-01-04 17:27:07
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-01-04 23:23:30
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2025-01-05 09:14:53
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-01-05 13:05:26
—;speech/rhetoric;Israel.;—;—;2025-01-05 16:43:59
experienced;speech/rhetoric;Israel.;on the quad;—;2025-01-05 18:48:19
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2025-01-05 19:39:36
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2025-01-06 07:32:17
felt;something else;Jewish students.;on the quad;a student.;2025-01-06 08:12:56
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-01-06 10:38:36
heard;faculty conduct;faculty, staff, or administrators.;on the quad;i’m not sure/unknown.;2025-01-06 10:49:01
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2025-01-06 10:49:45
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-01-06 11:36:01
felt;speech/rhetoric;Israel.;off campus;a student.;2025-01-06 11:55:02
experienced;speech/rhetoric;the Israeli government.;in a classroom;a student.;2025-01-06 11:57:55
—;call for BDS (Boycott, Divestment, Sanctions);—;—;—;2025-01-06 11:58:22
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;—;2025-01-06 13:05:30
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2025-01-06 13:19:33
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2025-01-06 13:38:31
heard;speech/rhetoric;Israel.;online;someone online.;2025-01-06 13:44:00
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-01-06 13:55:09
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-01-06 14:11:58
saw;something else;the Israeli government.;off campus;someone from off campus.;2025-01-06 14:23:18
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;—;2025-01-06 14:23:54
experienced;speech/rhetoric;the Israeli government.;at a student club;a campus club or organization.;2025-01-06 14:24:26
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-01-06 14:31:45
heard;physical assault;the Israeli government.;off campus;a student.;2025-01-06 15:14:33
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;—;2025-01-06 15:22:26
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-01-06 15:44:05
experienced;physical assault;me.;in a classroom;someone online.;2025-01-06 15:45:01
experienced;physical assault;me.;in my dorm;a student.;2025-01-06 15:45:32
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;i’m not sure/unknown.;2025-01-06 16:12:17
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-01-06 16:22:25
experienced;physical assault;me.;in a classroom;a student.;2025-01-06 16:22:33
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2025-01-06 16:36:31
saw;speech/rhetoric;Israel.;in a classroom;a student.;2025-01-06 16:41:14
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a professor.;2025-01-06 16:41:44
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a professor.;2025-01-06 16:43:08
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2025-01-06 17:46:54
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-01-06 17:59:43
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-01-06 18:52:14
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2025-01-06 19:19:03
saw;graffiti;Israel.;in a classroom;i’m not sure/unknown.;2025-01-06 19:57:26
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;i’m not sure/unknown.;2025-01-06 20:55:29
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;—;2025-01-06 22:37:19
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-01-07 00:38:42
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;—;—;2025-01-07 00:51:42
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a campus club or organization.;2025-01-07 03:02:31
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2025-01-07 03:05:44
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2025-01-07 04:25:11
